group_name,state,district_id,district_name,nces_id,exists_in_index,is_orphaned,has_nces,opp_count,opp_revenue,school_count,session_count,session_revenue,course_count,total_revenue,notes
BLIND BROOK-RYE SCHOOL DISTRICT,NY,17592188430524,Blind Brook-Rye School District,,False,True,False,3,71508,0,0,0,0,71508,Non-canonical pattern -- needs manual review to determine correct merge target
BERKSHIRE HILLS REGIONAL SCHOOL DISTRICT,MA,17592284316318,Berkshire Hills Regional School District,,False,True,False,1,70000,1,0,0,0,70000,Non-canonical pattern -- needs manual review to determine correct merge target
ERICK PUBLIC SCHOOLS,OK,17592284317216,Erick Public Schools,,False,True,False,1,70000,1,0,0,0,70000,Non-canonical pattern -- needs manual review to determine correct merge target
SCOTTSDALE UNIFIED DISTRICT,AZ,17592284313318,Scottsdale Unified District,,False,True,False,2,69000,1,0,0,0,69000,Non-canonical pattern -- needs manual review to determine correct merge target
CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,CO,17592284310889,Cheyenne County School District No. Re-5,,False,True,False,1,65996.3,1,0,0,0,65996.3,Non-canonical pattern -- needs manual review to determine correct merge target
PALCO UNIFIED SCHOOL DISTRICT 269,KS,17592284313491,Palco Unified School District 269,,False,True,False,1,65000,1,0,0,0,65000,Non-canonical pattern -- needs manual review to determine correct merge target
OPHEIM PUBLIC SCHOOLS,MT,17592284316288,Opheim Public Schools,,False,True,False,1,65000,1,0,0,0,65000,Non-canonical pattern -- needs manual review to determine correct merge target
WASHINGTON UNIFIED SCHOOL DISTRICT (WEST SACRAMENTO),CA,17592291232459,Washington Unified School District (West Sacramento),,False,True,False,1,65000,0,0,0,0,65000,Non-canonical pattern -- needs manual review to determine correct merge target
LUMPKIN COUNTY SCHOOL DISTRICT,GA,17592286155087,Lumpkin County School District,,False,True,False,1,61467.53,1,0,0,0,61467.53,Non-canonical pattern -- needs manual review to determine correct merge target
BALLSTON SPA SCHOOL DISTRICT,NY,17592188429814,Ballston Spa School District,,False,True,False,3,60775,0,0,0,0,60775,Non-canonical pattern -- needs manual review to determine correct merge target
MALDEN PUBLIC SCHOOL,MA,17592284316049,Malden Public School,,False,True,False,1,60225,1,0,0,0,60225,Non-canonical pattern -- needs manual review to determine correct merge target
TELRA INSTITUTE (DISTRICT),NC,17592284313277,Telra Institute (District),,False,True,False,2,60000,1,0,0,0,60000,Non-canonical pattern -- needs manual review to determine correct merge target
BILLINGS PUBLIC SCHOOLS,MT,17592284310720,Billings Public Schools,,False,True,False,1,60000,1,0,0,0,60000,Non-canonical pattern -- needs manual review to determine correct merge target
SPARTA COMMUNITY UNIT SCHOOL DISTRICT 140,IL,17592284314254,Sparta Community Unit School District 140,,False,True,False,1,60000,1,0,0,0,60000,Non-canonical pattern -- needs manual review to determine correct merge target
HUDSON FALLS SCHOOL DISTRICT,NY,17592193423356,Hudson Falls School District,,False,True,False,3,57800,0,0,0,0,57800,Non-canonical pattern -- needs manual review to determine correct merge target
ROSELLE BOROUGH SCHOOL DISTRICT,NJ,17592284310976,Roselle Borough School District,,False,True,False,2,55000,0,0,0,0,55000,Non-canonical pattern -- needs manual review to determine correct merge target
ROCKETSHIP SOUTHSIDE COMMUNITY PREPARATORY (DISTRICT),WI,17592284311854,Rocketship Southside Community Preparatory (District),,False,True,False,1,55000,1,0,0,0,55000,Non-canonical pattern -- needs manual review to determine correct merge target
FRANKFORT-SCHUYLER,NY,17592238766999,Frankfort-Schuyler,,True,False,False,9,53595,1,319,0,35,53595,Non-canonical pattern -- needs manual review to determine correct merge target
FRANKFORT-SCHUYLER,NY,17592188843565,Frankfort-Schuyler,,False,True,False,9,53595,0,0,0,0,53595,Non-canonical pattern -- needs manual review to determine correct merge target
CASSOPOLIS PUBLIC SCHOOLS,MI,17592284311922,Cassopolis Public Schools,,False,True,False,1,53000,1,0,0,0,53000,Non-canonical pattern -- needs manual review to determine correct merge target
CHARLOTTE-MECKLENBURG SCHOOLS,NC,17592297178293,Charlotte-Mecklenburg Schools,,True,False,False,2,52837.09,11,0,0,0,52837.09,Non-canonical pattern -- needs manual review to determine correct merge target
MONTICELLO SCHOOL DISTRICT,NY,17592188843515,Monticello School District,,False,True,False,3,52020,0,0,0,0,52020,Non-canonical pattern -- needs manual review to determine correct merge target
WILTON PUBLIC SCHOOL DISTRICT,CT,17592284316023,Wilton Public School District,,False,True,False,1,51562,1,0,0,0,51562,Non-canonical pattern -- needs manual review to determine correct merge target
"PROJECT STAY, INC.",TX,17592188843604,"Project Stay, Inc.",,False,True,False,2,50740,0,0,0,0,50740,Non-canonical pattern -- needs manual review to determine correct merge target
MORRIS-UNION JOINTURE COMMISSION SCHOOL DISTRICT,NJ,17592284312986,Morris-Union Jointure Commission School District,,False,True,False,1,50000.02,0,0,0,0,50000.02,Non-canonical pattern -- needs manual review to determine correct merge target
RICHMOND COUNTY SCHOOL DISTRICT,GA,17592284310093,Richmond County School District,,False,True,False,2,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
APPOQUINIMINK SCHOOL DISTRICT,DE,17592284310279,Appoquinimink School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
EAST BATON ROUGE SCHOOL DISTRICT,LA,17592284310548,East Baton Rouge School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,NY,17592284311078,Cassadaga Valley Central School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
GLADES COUNTY PUBLIC SCHOOLS,FL,17592284311111,Glades County Public Schools,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
MT BLUE REGIONAL SCHOOL DISTRICT REGIONAL SCHOOL UNIT 09,ME,17592284311278,Mt Blue Regional School District Regional School Unit 09,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
THOMASTON-UPSON COUNTY SCHOOL DISTRICT,GA,17592284311304,Thomaston-Upson County School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
LONGMEADOW PUBLIC SCHOOLS,MA,17592284311324,Longmeadow Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
LIVINGSTON PUBLIC SCHOOLS,MT,17592284311399,Livingston Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
VASSALBORO SCHOOL DEPARTMENT,ME,17592284311442,Vassalboro School Department,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
WAYNE-FINGER LAKES BOCES,NY,17592284311505,Wayne-Finger Lakes Boces,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
VALDOSTA CITY SCHOOL DISTRICT,GA,17592284312043,Valdosta City School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
YORK SCHOOL DEPARTMENT,ME,17592284312157,York School Department,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
CHELSEA PUBLIC SCHOOLS,MA,17592284312350,Chelsea Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
PUTNAM COUNTY SCHOOL DISTRICT,GA,17592284312381,Putnam County School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
MASCONOMET REGIONAL SCHOOL DISTRICT,MA,17592284312567,Masconomet Regional School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
PITTSBURG UNIFIED SCHOOL DISTRICT 250,KS,17592284313000,Pittsburg Unified School District 250,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
MOUNTAIN EDUCATION CENTER (DISTRICT),GA,17592284313193,Mountain Education Center (District),,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
WESTON SCHOOL DISTRICT,CT,17592284313264,Weston School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
SOUTHWEST GEORGIA S.T.E.M. CHARTER (DISTRICT),GA,17592284313301,Southwest Georgia S.T.E.M. Charter (District),,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
HAMILTON-WENHAM REGIONAL SCHOOL DISTRICT,MA,17592284313557,Hamilton-Wenham Regional School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
PAISLEY SCHOOL DISTRICT 11,OR,17592284313813,Paisley School District 11,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
WISCONSIN DEPTARTMENT OF CORRECTIONS,WI,17592284313995,Wisconsin Deptartment of Corrections,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
DYSART UNIFIED SCHOOL DISTRICT,AZ,17592284314128,Dysart Unified School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
DOUGLAS COUNTY SCHOOLS,GA,17592284314731,Douglas County Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
MISSISSIPPI ACHIEVEMENT SCHOOL DISTRICT,MS,17592284314999,Mississippi Achievement School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
BERLIN-BOYLSTON REGIONAL SCHOOL DISTRICT,MA,17592284315168,Berlin-Boylston Regional School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
DORCHESTER COUNTY SCHOOL DISTRICT 04,SC,17592284316371,Dorchester County School District 04,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
EDGEFIELD COUNTY SCHOOL DISTRICT,SC,17592284316375,Edgefield County School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
DUNDEE CENTRAL SCHOOL DISTRICT,NY,17592284316594,Dundee Central School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
HAMILTON COUNTY SCHOOL DISTRICT,FL,17592284316834,Hamilton County School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
NORTH ADAMS PUBLIC SCHOOLS,MA,17592284316853,North Adams Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
WATERTOWN PUBLIC SCHOOLS,MA,17592284316982,Watertown Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
BEAUFORT COUNTY SCHOOLS 01,SC,17592284317071,Beaufort County Schools 01,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
FERGUSON-FLORISSANT R-II SCHOOL DISTRICT,MO,17592284317614,Ferguson-Florissant R-II School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
MARSHFIELD PUBLIC SCHOOLS,MA,17592284317868,Marshfield Public Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
HARVEY SCHOOL DISTRICT 152,IL,17592284318220,Harvey School District 152,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
LITCHFIELD COMMUNITY UNIT SCHOOL DISTRICT 12,IL,17592284318607,Litchfield Community Unit School District 12,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
GRIFFIN-SPALDING COUNTY SCHOOLS,GA,17592284318781,Griffin-Spalding County Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
SPENCER-EAST BROOKFIELD REGIONAL SCHOOL DISTRICT,MA,17592284318789,Spencer-East Brookfield Regional School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
CLINTONDALE COMMUNITY SCHOOLS,MI,17592284319026,Clintondale Community Schools,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
RAPELJE ELEMENTARY DISTRICT,MT,17592284319073,Rapelje Elementary District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
GIRARD SCHOOL DISTRICT,PA,17592284319097,Girard School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
PARAMUS SCHOOL DISTRICT,NJ,17592284319381,Paramus School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
WINSLOW TOWNSHIP SCHOOL DISTRICT,NJ,17592284319518,Winslow Township School District,,False,True,False,1,50000,0,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
DAWSON COUNTY SCHOOL DISTRICT,GA,17592284319552,Dawson County School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
SUMTER COUNTY SCHOOL DISTRICT,GA,17592284319650,Sumter County School District,,False,True,False,1,50000,1,0,0,0,50000,Non-canonical pattern -- needs manual review to determine correct merge target
SALAMANCA CITY SCHOOL DISTRICT,NY,17592188057814,Salamanca City School District,,False,True,False,3,48800,0,0,0,0,48800,Non-canonical pattern -- needs manual review to determine correct merge target
MAMMOTH-SAN MANUEL UNIFIED DISTRICT,AZ,17592284312711,Mammoth-San Manuel Unified District,,False,True,False,1,48125,1,0,0,0,48125,Non-canonical pattern -- needs manual review to determine correct merge target
WHITEHALL SCHOOL DISTRICT,NY,17592297177659,Whitehall School District,,True,False,False,3,42400,3,59,4040,16,46440,Non-canonical pattern -- needs manual review to determine correct merge target
KENMORE-TONAWANDA SCHOOL DISTRICT,NY,17592188843600,Kenmore-Tonawanda School District,,False,True,False,4,45150,0,0,0,0,45150,Non-canonical pattern -- needs manual review to determine correct merge target
CENTERVILLE COMMUNITY SCHOOL DISTRICT,IA,17592284313647,Centerville Community School District,,False,True,False,1,45100,1,0,0,0,45100,Non-canonical pattern -- needs manual review to determine correct merge target
GLOVERSVILLE ENLARGED SCHOOL DISTRICT,NY,17592188843433,Gloversville Enlarged School District,,False,True,False,3,43750,0,0,0,0,43750,Non-canonical pattern -- needs manual review to determine correct merge target
GOSHEN CENTRAL SCHOOL DISTRICT,NY,17592297177419,Goshen Central School District,,True,False,False,2,29566,4,346,13568.98,18,43134.98,Non-canonical pattern -- needs manual review to determine correct merge target
WHITEHALL SCHOOL DISTRICT,NY,17592188843660,Whitehall School District,,False,True,False,3,42400,0,0,0,0,42400,Non-canonical pattern -- needs manual review to determine correct merge target
RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,NY,17592290785074,Rush-Henrietta Central School District,,False,True,False,1,42000,0,0,0,0,42000,Non-canonical pattern -- needs manual review to determine correct merge target
BATH CENTRAL SCHOOL DISTRICT,NY,17592240841531,Bath Central School District,,False,True,False,2,41680,0,0,0,0,41680,Non-canonical pattern -- needs manual review to determine correct merge target
PORTSMOUTH PUBLIC SCHOOLS,VA,17592188843618,Portsmouth Public Schools,,False,True,False,4,40665,1,0,0,0,40665,Non-canonical pattern -- needs manual review to determine correct merge target
JEMEZ VALLEY PUBLIC SCHOOLS,NM,17592291095294,Jemez Valley Public Schools,,False,True,False,1,40000,0,0,0,0,40000,Non-canonical pattern -- needs manual review to determine correct merge target
PICKENS COUNTY SCHOOL DISTRICT,GA,17592284311002,Pickens County School District,,False,True,False,1,40000,1,0,0,0,40000,Non-canonical pattern -- needs manual review to determine correct merge target
CARROLL COUNTY SCHOOLS,KY,17592284311953,Carroll County Schools,,False,True,False,1,40000,0,0,0,0,40000,Non-canonical pattern -- needs manual review to determine correct merge target
TIGERTON SCHOOL DISTRICT,WI,17592284315483,Tigerton School District,,False,True,False,1,40000,1,0,0,0,40000,Non-canonical pattern -- needs manual review to determine correct merge target
DUANESBURG,NY,17592238766943,Duanesburg,,True,False,False,5,38177,1,494,840,24,39017,Non-canonical pattern -- needs manual review to determine correct merge target
NORTH PALOS SCHOOL DISTRICT 117,IL,17592284317359,North Palos School District 117,,False,True,False,1,38610,1,0,0,0,38610,Non-canonical pattern -- needs manual review to determine correct merge target
DUANESBURG,NY,17592190776076,Duanesburg,,False,True,False,5,38177,0,0,0,0,38177,Non-canonical pattern -- needs manual review to determine correct merge target
ARKPORT SCHOOL DISTRICT,NY,17592188524812,Arkport School District,,False,True,False,4,37650,0,0,0,0,37650,Non-canonical pattern -- needs manual review to determine correct merge target
LANCASTER SCHOOL DISTRICT,NY,17592188114457,Lancaster School District,,False,True,False,5,37000,0,0,0,0,37000,Non-canonical pattern -- needs manual review to determine correct merge target
MINISINK VALLEY CENTRAL SCHOOL DISTRICT,NY,17592297177466,Minisink Valley Central School District,,True,False,False,1,36415,5,0,0,0,36415,Non-canonical pattern -- needs manual review to determine correct merge target
BURNHAM SCHOOL DISTRICT 154-5,IL,17592284313894,Burnham School District 154-5,,False,True,False,2,34520,1,0,0,0,34520,Non-canonical pattern -- needs manual review to determine correct merge target
DANVERS PUBLIC SCHOOLS,MA,17592284313881,Danvers Public Schools,,False,True,False,2,34480,1,0,0,0,34480,Non-canonical pattern -- needs manual review to determine correct merge target
SAN ANTONIO INDEPENDENT SCHOOL DISTRICT,TX,17592284312570,San Antonio Independent School District,,False,True,False,4,34000,0,0,0,0,34000,Non-canonical pattern -- needs manual review to determine correct merge target
HANOVER COMMUNITY SCHOOL CORPORATION,IN,17592284319249,Hanover Community School Corporation,,False,True,False,1,32900,1,0,0,0,32900,Non-canonical pattern -- needs manual review to determine correct merge target
GEAR UP ALABAMA,AL,17592246333599,GEAR UP Alabama,,True,False,False,4,32750,1,74,0,8,32750,Non-canonical pattern -- needs manual review to determine correct merge target
GEAR UP ALABAMA,AL,17592188843557,GEAR UP Alabama,,False,True,False,4,32750,0,0,0,0,32750,Non-canonical pattern -- needs manual review to determine correct merge target
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,IN,17592284310396,Alexandria Community School Corporation,,False,True,False,1,31840,1,0,0,0,31840,Non-canonical pattern -- needs manual review to determine correct merge target
SOMERS CENTRAL SCHOOL DISTRICT,NY,17592188054315,Somers Central School District,,False,True,False,4,30938,0,0,0,0,30938,Non-canonical pattern -- needs manual review to determine correct merge target
MARENGO-UNION ELEMENTARY CONSOLIDATED DISTRICT 165,IL,17592188843519,Marengo-Union Elementary Consolidated District 165,,False,True,False,2,30030,1,0,0,0,30030,Non-canonical pattern -- needs manual review to determine correct merge target
STEWART COUNTY SCHOOL DISTRICT,GA,17592284311588,Stewart County School District,,False,True,False,2,30000,1,0,0,0,30000,Non-canonical pattern -- needs manual review to determine correct merge target
LOPATCONG TOWNSHIP SCHOOL DISTRICT,NJ,17592284311209,Lopatcong Township School District,,False,True,False,1,30000,0,0,0,0,30000,Non-canonical pattern -- needs manual review to determine correct merge target
NEW HAVEN SCHOOL DISTRICT,CT,17592284313030,New Haven School District,,False,True,False,1,30000,1,0,0,0,30000,Non-canonical pattern -- needs manual review to determine correct merge target
ACADEMY DEL SOL INC.,AZ,17592284315470,Academy Del Sol Inc.,,False,True,False,1,30000,1,0,0,0,30000,Non-canonical pattern -- needs manual review to determine correct merge target
ROCK HILLS UNIFIED SCHOOL DISTRICT 107,KS,17592284318265,Rock Hills Unified School District 107,,False,True,False,1,30000,1,0,0,0,30000,Non-canonical pattern -- needs manual review to determine correct merge target
UNION SPRINGS SCHOOL DISTRICT,NY,17592188843817,Union Springs School District,,False,True,False,10,29150,0,0,0,0,29150,Non-canonical pattern -- needs manual review to determine correct merge target
GOSHEN CENTRAL SCHOOL DISTRICT,NY,17592293911970,Goshen Central School District,,False,True,False,2,29132.02,0,0,0,0,29132.02,Non-canonical pattern -- needs manual review to determine correct merge target
OTTAWA TOWNSHIP HIGH SCHOOL DISTRICT 140,IL,17592284311794,Ottawa Township High School District 140,,False,True,False,1,28500,1,0,0,0,28500,Non-canonical pattern -- needs manual review to determine correct merge target
GRANVILLE CENTRAL SCHOOL DISTRICT,NY,17592284314090,Granville Central School District,,False,True,False,1,28000,0,0,0,0,28000,Non-canonical pattern -- needs manual review to determine correct merge target
LEARN 9 CAMPUS IN WAUKEGAN (DISTRICT),IL,17592284311997,Learn 9 Campus In Waukegan (District),,False,True,False,1,26136,1,0,0,0,26136,Non-canonical pattern -- needs manual review to determine correct merge target
OTSEGO NORTHERN CATSKILLS BOCES,NY,17592237982708,Otsego Northern Catskills BOCES,,True,False,False,3,23395,3,338,2010,23,25405,Non-canonical pattern -- needs manual review to determine correct merge target
LACKAWANNA CITY SCHOOL DISTRICT,NY,17592284310188,Lackawanna City School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
MONTCLAIR SCHOOL DISTRICT,NJ,17592284310246,Montclair School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
RIVERVIEW GARDENS SCHOOL DISTRICT,MO,17592284310299,Riverview Gardens School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
ROCK FALLS ELEMENTARY SCHOOL DISTRICT 13,IL,17592284311180,Rock Falls Elementary School District 13,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
PEORIA PUBLIC SCHOOL DISTRICT 150,IL,17592284311206,Peoria Public School District 150,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
WESTFIELD SCHOOL DISTRICT,NJ,17592284311498,Westfield School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
EVERETT PUBLIC SCHOOLS,MA,17592284311573,Everett Public Schools,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
ANNAWAN COMMUNITY UNIT SCHOOL DISTRICT 226,IL,17592284311860,Annawan Community Unit School District 226,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
ANDERSON COUNTY SCHOOL DISTRICT 01,SC,17592284311879,Anderson County School District 01,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
DOVER PUBLIC SCHOOLS,NJ,17592284312435,Dover Public Schools,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
LAUREL PUBLIC SCHOOLS,MT,17592284313056,Laurel Public Schools,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
CAMBRIDGE PUBLIC SCHOOLS,MA,17592284313109,Cambridge Public Schools,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
WESTONKA PUBLIC SCHOOL DISTRICT 277,MN,17592284313497,Westonka Public School District 277,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
ALABAMA YOUTH SERVICES (DISTRICT),AL,17592284314213,Alabama Youth Services (District),,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
MILWAUKEE PUBLIC SCHOOL DISTRICT,WI,17592284315682,Milwaukee Public School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
MECKLENBURG COUNTY PUBLIC SCHOOLS,VA,17592284318438,Mecklenburg County Public Schools,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
CASSVILLE R-IV SCHOOL DISTRICT,MO,17592284318728,Cassville R-IV School District,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
ROCHELLE TOWNSHIP HIGH SCHOOL DISTRICT 212,IL,17592284319081,Rochelle Township High School District 212,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
EMPIRE PUBLIC SCHOOLS,OK,17592284319111,Empire Public Schools,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
HANCOCK COUNTY SCHOOL DISTRICT,GA,17592284319121,Hancock County School District,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
HOLCOMB R-III SCHOOL DISTRICT,MO,17592284319200,Holcomb R-III School District,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
MARSHFIELD R-I SCHOOL DISTRICT,MO,17592284319388,Marshfield R-I School District,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
PROPHETSTOWN-LYNDON-TAMPICO COMMUNITY UNIT SCHOOL DISTRICT 3,IL,17592284319501,Prophetstown-Lyndon-Tampico Community Unit School District 3,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
SAUK CENTRE PUBLIC SCHOOL DISTRICT,MN,17592291050858,Sauk Centre Public School District,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
PALATINE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15,IL,17592291364222,Palatine Community Consolidated School District 15,,False,True,False,1,25000,1,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
LAWNSIDE BOROUGH SCHOOL DISTRICT,NJ,17592294773703,Lawnside Borough School District,,False,True,False,1,25000,0,0,0,0,25000,Non-canonical pattern -- needs manual review to determine correct merge target
THE EAST NEW YORK ART AND CIVICS HIGH SCHOOL,NY,17592284316580,The East New York Art And Civics High School,,False,True,False,1,24999,1,0,0,0,24999,Non-canonical pattern -- needs manual review to determine correct merge target
VALLEY CENTRAL SCHOOL DISTRICT (MONTGOMERY),NY,17592284317679,Valley Central School District (Montgomery),,False,True,False,1,24225,0,0,0,0,24225,Non-canonical pattern -- needs manual review to determine correct merge target
CROCKER R-II SCHOOL DISTRICT,MO,17592284319475,Crocker R-II School District,,False,True,False,1,24000,1,0,0,0,24000,Non-canonical pattern -- needs manual review to determine correct merge target
OTSEGO NORTHERN CATSKILLS BOCES,NY,17592232075340,Otsego Northern Catskills BOCES,,False,True,False,3,23395,0,0,0,0,23395,Non-canonical pattern -- needs manual review to determine correct merge target
LEARN INC.,TX,17592246338258,LEARN Inc.,,True,False,False,3,22635,1,109,0,23,22635,Non-canonical pattern -- needs manual review to determine correct merge target
LEARN INC.,TX,17592188843688,LEARN Inc.,,False,True,False,3,22635,0,0,0,0,22635,Non-canonical pattern -- needs manual review to determine correct merge target
THOMAS COUNTY SCHOOL DISTRICT,GA,17592284313809,Thomas County School District,,False,True,False,1,22237,1,0,0,0,22237,Non-canonical pattern -- needs manual review to determine correct merge target
METROPOLITAN SCHOOL DISTRICT WASHINGTON TOWNSHIP,IN,17592284319636,Metropolitan School District Washington Township,,False,True,False,1,22200,1,0,0,0,22200,Non-canonical pattern -- needs manual review to determine correct merge target
GREATER AMSTERDAM SCHOOL DISTRICT,NY,17592188843443,Greater Amsterdam School District,,False,True,False,3,22000,0,0,0,0,22000,Non-canonical pattern -- needs manual review to determine correct merge target
CLINTON SCHOOL DISTRICT,NY,17592188431416,Clinton School District,,False,True,False,5,21950,0,0,0,0,21950,Non-canonical pattern -- needs manual review to determine correct merge target
